Wavelength,Intensity0
299.56906,1058
299.60548,1046
299.6419,1056
299.67832,1048
299.71474,1050
299.75116,1056
299.78758,1056
299.824,1054
299.86042,1058
299.89684,1058
299.93326,1052
299.96968,1062
300.0061,1062
300.04252,1060
300.07894,1062
300.11536,1060
300.15178,1056
300.1882,1060
300.22462,1060
300.26104,1054
300.29746,1058
300.33388,1078
300.3703,1056
300.40672,1056
300.44314,1054
300.47956,1050
300.51598,1058
300.5524,1054
300.58882,1058
300.62524,1052
300.66166,1066
300.69808,1064
300.7345,1062
300.77092,1062
300.80734,1054
300.84376,1068
300.88018,1054
300.9166,1050
300.95302,1058
300.98944,1056
301.02586,1058
301.06228,1060
301.0987,1048
301.13512,1058
301.17154,1058
301.20796,1062
301.24438,1054
301.2808,1054
301.31722,1056
301.35364,1052
301.39006,1058
301.42648,1066
301.4629,1064
301.49932,1058
301.53574,1058
301.57216,1054
301.60858,1056
301.645,1062
301.68142,1056
301.71784,1054
301.75426,1060
301.79068,1064
301.8271,1066
301.86352,1064
301.89994,1058
301.93636,1058
301.97278,1064
302.0092,1068
302.04562,1058
302.08204,1064
302.11846,1056
302.15488,1054
302.1913,1066
302.22772,1052
302.26414,1068
302.30056,1056
302.33698,1058
302.3734,1058
302.40982,1060
302.44624,1076
302.48266,1060
302.51908,1048
302.5555,1054
302.59192,1056
302.62834,1072
302.66476,1076
302.70118,1060
302.7376,1058
302.77402,1064
302.81044,1056
302.84686,1066
302.88328,1066
302.9197,1054
302.95612,1060
302.99254,1050
303.02896,1062
303.06538,1064
303.1018,1054
303.13822,1072
303.17464,1064
303.21106,1050
303.24748,1052
303.2839,1056
303.32032,1048
303.35674,1052
303.39316,1054
303.42958,1062
303.466,1062
303.50242,1060
303.53884,1048
303.57526,1072
303.61168,1058
303.6481,1062
303.68452,1064
303.72094,1070
303.75736,1066
303.79378,1072
303.8302,1066
303.86662,1070
303.90304,1052
303.93946,1054
303.97588,1048
304.0123,1062
304.04872,1064
304.08514,1052
304.12156,1066
304.15798,1058
304.1944,1054
304.23082,1060
304.26724,1076
304.30366,1050
