Wavelength,Intensity0
299.56906,1052
299.60548,1046
299.6419,1044
299.67832,1052
299.71474,1050
299.75116,1056
299.78758,1052
299.824,1046
299.86042,1060
299.89684,1052
299.93326,1044
299.96968,1060
300.0061,1056
300.04252,1048
300.07894,1054
300.11536,1054
300.15178,1046
300.1882,1050
300.22462,1048
300.26104,1044
300.29746,1054
300.33388,1068
300.3703,1054
300.40672,1044
300.44314,1052
300.47956,1044
300.51598,1054
300.5524,1046
300.58882,1050
300.62524,1054
300.66166,1054
300.69808,1068
300.7345,1048
300.77092,1042
300.80734,1044
300.84376,1044
300.88018,1042
300.9166,1048
300.95302,1046
300.98944,1050
301.02586,1042
301.06228,1046
301.0987,1058
301.13512,1058
301.17154,1052
301.20796,1050
301.24438,1066
301.2808,1054
301.31722,1050
301.35364,1054
301.39006,1040
301.42648,1044
301.4629,1050
301.49932,1048
301.53574,1054
301.57216,1056
301.60858,1052
301.645,1052
301.68142,1042
301.71784,1050
301.75426,1046
301.79068,1054
301.8271,1062
301.86352,1052
301.89994,1052
301.93636,1054
301.97278,1056
302.0092,1050
302.04562,1044
302.08204,1056
302.11846,1038
302.15488,1060
302.1913,1052
302.22772,1054
302.26414,1058
302.30056,1046
302.33698,1054
302.3734,1050
302.40982,1048
302.44624,1066
302.48266,1062
302.51908,1062
302.5555,1056
302.59192,1048
302.62834,1068
302.66476,1058
302.70118,1058
302.7376,1048
302.77402,1064
302.81044,1048
302.84686,1050
302.88328,1050
302.9197,1050
302.95612,1048
302.99254,1046
303.02896,1056
303.06538,1058
303.1018,1050
303.13822,1052
303.17464,1054
303.21106,1044
303.24748,1048
303.2839,1044
303.32032,1040
303.35674,1052
303.39316,1042
303.42958,1062
303.466,1060
303.50242,1052
303.53884,1060
303.57526,1058
303.61168,1048
303.6481,1048
303.68452,1048
303.72094,1052
303.75736,1056
303.79378,1048
303.8302,1054
303.86662,1058
303.90304,1050
303.93946,1054
303.97588,1046
304.0123,1056
304.04872,1050
304.08514,1054
304.12156,1062
304.15798,1060
304.1944,1052
304.23082,1052
304.26724,1046
304.30366,1054
304.34008,1056
304.3765,1054
304.41292,1050
304.44934,1052
304.48576,1060
304.52218,1052
304.5586,1046
304.59502,1058
304.63144,1052
304.66786,1046
304.70428,1050
304.7407,1066
304.77712,1044
304.81354,1048
304.84996,1060
304.88638,1046
304.9228,1052
304.95922,1052
304.99564,1050
305.03206,1044
305.06848,1048
305.1049,1052
305.14132,1060
305.17774,1058
305.21416,1048
305.25058,1056
305.287,1048
305.32342,1050
305.35984,1068
305.39626,1044
305.43268,1048
305.4691,1046
305.50552,1058
305.54194,1052
305.57836,1058
305.61478,1044
305.6512,1050
305.68762,1052
305.72404,1048
305.76046,1058
305.79688,1058
305.8333,1050
305.86972,1050
305.90614,1064
305.94256,1060
305.97898,1048
306.0154,1062
306.05182,1058
306.08824,1072
306.12466,1052
306.16108,1050
306.1975,1060
306.23392,1060
306.27034,1060
306.30676,1052
306.34318,1054
306.3796,1052
306.41602,1052
306.45244,1056
306.48886,1056
306.52528,1048
306.5617,1042
306.59812,1050
306.63454,1048
306.67096,1056
306.70738,1048
306.7438,1054
306.78022,1054
306.81664,1062
306.85306,1050
306.88948,1056
306.9259,1044
306.96232,1056
306.99874,1052
307.03516,1058
307.07158,1062
307.108,1054
307.14442,1054
307.18084,1048
307.21726,1064
307.25368,1056
307.2901,1062
307.32652,1066
307.36294,1060
307.39936,1052
307.43578,1058
307.4722,1054
307.50862,1056
307.54504,1068
307.58146,1054
307.61788,1056
307.6543,1048
307.69072,1056
307.72714,1052
307.76356,1072
307.79998,1058
307.8364,1058
307.87282,1054
307.90924,1048
307.94566,1054
