2023-06-21 11:58:02.1723|Info|| "bool connect_devices()" "connecting NDF1" |function_name=bool connect_devices(), message=connecting NDF1 
2023-06-21 11:58:02.8321|Info|| "bool connect_devices()" "NDF1 connected" |function_name=bool connect_devices(), message=NDF1 connected 
2023-06-21 11:58:02.9421|Info|| "bool connect_devices()" "connecting NDF2" |function_name=bool connect_devices(), message=connecting NDF2 
2023-06-21 11:58:03.0021|Info|| "bool connect_devices()" "NDF2 connected" |function_name=bool connect_devices(), message=NDF2 connected 
2023-06-21 11:58:06.8721|Info|| "bool connect_devices()" "PM100A connected" |function_name=bool connect_devices(), message=PM100A connected 
2023-06-21 11:58:07.3021|Info|| "bool connect_devices()" "M9700 connected" |function_name=bool connect_devices(), message=M9700 connected 
2023-06-21 11:58:09.4321|Info|| "InitializeCCD" "CCD Event" |function_name=InitializeCCD, message=CCD Event 
2023-06-21 11:58:09.4321|Info|| "InitializeCCD" "CCD Load" |function_name=InitializeCCD, message=CCD Load 
2023-06-21 11:58:09.4321|Info|| "InitializeCCD" "CCD Open" |function_name=InitializeCCD, message=CCD Open 
2023-06-21 11:58:10.4621|Info|| "InitializeCCD" "CCD Initialize" |function_name=InitializeCCD, message=CCD Initialize 
2023-06-21 11:58:10.4821|Info|| "InitializeCCD" "Load ADC and Gain" |function_name=InitializeCCD, message=Load ADC and Gain 
2023-06-21 11:58:10.4821|Info|| "InitializeCCD" "Complete
" |function_name=InitializeCCD, message=Complete
 
2023-06-21 11:58:10.4821|Info|| "bool connect_devices()" "Mono and CCD connected" |function_name=bool connect_devices(), message=Mono and CCD connected 
2023-06-21 11:58:10.7223|Info|| "OnCCDEvent_Initialized" "Adding Gain and ADC" |function_name=OnCCDEvent_Initialized, message=Adding Gain and ADC 
2023-06-21 11:58:10.7223|Info|| "InitializeGainSelect" "0" |function_name=InitializeGainSelect, message=0 
2023-06-21 11:58:10.7223|Info|| "InitializeADCSelect" "0" |function_name=InitializeADCSelect, message=0 
